"faq_id","questions","answers"
11,서울시 보조금 지원 자격 조건은? 상세내역은 공고 확인 요망,"공통자격

구매 지원신청서 접수일 기준 연속하여 서울시에 30일 이상 거주하거나 30일 이상 서울시 사업자등록된(본사, 지사) 법인


지원대상별 기준
<승용, 화물>

(개인) 서울시에 주소를 둔 만 18세(자동차 운전면허시험 자격 최소연령)이상
(개인사업자) - 개인 물량에 접수
▸1대만 구매가능 : 대표자의 등본상 주소가 서울시

(법인) 서울시에 주소를 둔 사업자(본사, 지사, 공장, 자동차 대여사업소 등)▸승용 : 1대만 서울시 보조금 지원, 2대부터는 환경공단에 신청하고 국비만 보조 ▸화물 : 2대 이상 구매시 환경공단에 신청하고 국비만 보조
(외국인) 서울시에 거주하는 재외국민, 국내영주권자(F5비자) 등 국내 체류기간이 2년 이상 남아있는 자로 만 18세 이상
(공공기관) 서울시 소재 공공기관* ※ 중앙행정기관은 제외
* 공공기관은「공공기관의 운영에 관한 법률」제4조 제1항에 의거하여 당해연도 기획재정부장관이 지정한 기관으로 함.


<승합>
서울시에 등록된 어린이 통학차량으로 사용하기 위해 전기 승합(중형, 대형)를 신차로 구입하는 어린이통학차량 소유자 (신고예정자 포함)
(개인, 개인사업자, 법인) ※ 대표자 및 사업장 주소 모두 서울특별시인 경우 가능▸「도로교통법」제52조에 따른 어린이통학버스의 신고를 한 자(신고 예정자 포함)▸「도로교통법」제52조에 따른 “어린이통학버스 신고증명서”상 주소지가 “서울”에 해당하여야 신청 가능
(법인) : 복지, 의료시설 등의 순환버스, 통근버스 등 ※ 리스·렌트용, 제작수입사가 자사의 차량 구매하는 경우에는 지원 불가
 
<승합-어린이통학용>


(개인, 개인사업자, 법인) ※ 대표자 및 사업장 주소 모두 서울특별시인 경우 가능


서울시에 등록된 어린이 통학차량으로 사용하기 위해 전기 승합(중형)를 신차로 구입하는 어린이통학차량 소유자 (신고예정자 포함)


「도로교통법」제52조에 따른 어린이통학버스의 신고를 한 자(신고 예정자 포함)


「도로교통법」제52조에 따른 “어린이통학버스 신고증명서”상 주소지가 “서울”에 해당하여야 신청 가능


 
<승합-순환·통근용>


 (법인) : 복지, 의료시설 등의 순환버스, 통근버스 등 ※ 리스·렌트용, 제작수입사가 자산의 차량을 구매하는 경우는 지원 불가"
12,서울시 전기차 보조금 신청 방법은?,"무공해차 통합누리집(www.ev.or.kr/ps)에서 신청

구매 대상 차종 제조ㆍ수입사 대리점 및 지점을 통해서 상담 후 구매지원신청서, 구매계약서, 서울 거주 서류 등을 해당 대리점, 지점에 제출하면무공해차 통합누리집을 통해 제조ㆍ수입사 대리점 및 지점에서 신청
제조 수입사 본사에서 10일이내 차량출고가 가능하다고 제출한 명단에 한하여 서울시에서 자격부여

※ 신청서를 포함한 각종 서식 서울시청 홈페이지 및 무공해차 통합누리집 공고에서 다운로드 가능

본사에서 greencar@seoul.go.kr로 취합명단 제출, 익일 자격부여"
13,외국인일 경우 신청 가능 여부 및 서울시 거주 증명 방법은?,"서울시 거주 재외국민, 국내영주권자(F5비자) 등 국내 체류 기간이 2년 이상 남아있는 자로 만 18세 이상

외국국적동포(국내거소사실증명서), 외국인(외국인등록사실증명서), 재외국민(주민등록표 등본), 국내영주권자(F5비자 및 국내거소사실증명서) 등

 다만, 2년 단위로 체류기간을 갱신하는 비자의 경우 기존 체류기간 갱신 이력 등을 제출하도록 서울시와 사전 협의"
14,지원가능확인요청 시 추가 서류(출고 확인증 등) 필요한지?,"제조수입사에서 자격부여를 받은 차량에 한하여 출고예정증명서(출고예정일이 기재된 배정화면 등)을 첨부하여 구매보조금 지원 가능 여부를 요청
자격부여 10일 이내에 미출고시 자격부여 취소, 대상자선정 없이 자격부여만 받고 출고시 보조금 지급 불가"
15,보조금 환수되는 경우는?,"보조금 환수 기준은 아래와 같습니다.

① 최초등록일로부터 2년 내 타 지자체로 판매·명의이전 시 → 서울시 지방비 환수
② 차량 등록 말소 또는 수출 시 → 국비 + 서울시 지방비 환수
③ 택시보조금 지원 차량을 승용으로 용도 변경 시 → 택시 추가보조금 환수
④ 2만km 미만 운행 + 최초등록일로부터 2년 이내 판매하는 전기화물차 → 보조금의 30% 이상 환수
⑤ 위장전입 등 부정한 방법으로 보조금 수령 시 → 전액 환수

※ ①~③은 운행기간별 환수율 적용

[운행기간별 환수율 - 수출 목적 말소('22.6.30 이후 접수)]
6개월 미만 70% / 6~12개월 65% / 12~18개월 60% / 18~24개월 55% / 24~30개월 50% / 30~36개월 40% / 36~48개월 30% / 48~96개월 20%

[운행기간별 환수율 - 그 밖의 경우]
3개월 미만 70% / 3~6개월 65% / 6~9개월 60% / 9~12개월 55% / 12~15개월 50% / 15~18개월 40% / 18~21개월 30% / 21~24개월 20% / 24개월 이상 0%

상세 내용: https://news.seoul.go.kr/env/archives/517115"
16,자격대상 구비서류 적용 기간?,"개인, 개인사업자, 법인 등의 증빙 자료는 신청일 기준 30일 이내 서류

(개인) 신청일 기준 주민등록등본 30일 이내에 발급한 서류
(개인사업자) 신청일 기준 사업자등록증명원 30일 이내에 발급한 서류
(법인) 신청일 기준 법인등기부등본 30일 이내에 발급한 서류"
17,보조금 신청 이후 주소가 변경된 경우는?,"보조금 신청 이후 서울시 內에서 주소 이전 가능 (단, 서류 보완 필수)

보조금 신청 이후 서울시가 아닌 타 지자체로 이전시 서울시 보조금 구매 지원 신청은 취소함(자격 요건 미달)"
18,개인당 보조금 지원 제한 대수는?,개인보조금 지원 대수는 차종별 1대임. (타지자체 보조금 포함)
19,법인 보조금 지원 제한 대수는?,법인은 보조금 지원대수는 차종별로 차이가 있음(공고 참조)
20,전기차 구매시 공동명의자의 자격 요건은?,"주명의자와 주민등록등본상 가족이어야 하며, 주명의자와 공동명의자가 모두 서울시에 거주하면서 주명의자가 보조금 지원대상 및 자격을 만족하여야 함.
별도로 공동명의 사유로 판매승인요청 시에는 공동명의자 모두 서울시에 거주하면 가능(Q13 참조)"
21,개인사업자가 세금계산서 발행은 사업장으로 해도 되는지?,"본인 소유 사업장으로 세금계산서 발행은 가능하나, 차량등록은 반드시 거주지인 서울로 하여야 함"
22,전기차 구매 후 공동명의로 변경할 경우 자격 요건은?,"공동 명의로 변경이 가능하며, 사전에 서울시 판매승인을 받아야 함. 이때 주민등록등본상 동일 세대원이어야 하는 조건은 따지지 않음

판매승인은 https://news.seoul.go.kr/env/sale_apprval(서울시 누리집)에서 신청 가능
단 공동명의자가 서울거주자가 아닌 경우에는 타시도판매와 마찬가지로 보아 서울시 보조금 일부가 환수됨
공동명의자 간 지분 변동시에는 판매승인을 받지 않아도 되지만, 주명의자가 바뀌는 경우는 반드시 판매승인을 받아야 함"
23,공동명의 구매시 지원 여부는?,"공동명의로 구매시 주명의자가 보조금 지원대상 및 자격을 만족하여야 하며, 주명의자에게만 보조금을 지원하는것으로 간주(공동명의자는 재지원제한기간 미적용)"
24,서울시 보조금을 지원받고 이사했을 경우 보조금 환수 대상인지?,"명의 변경 없는 개인 주소 이전은 보조금 환수 대상 아님. 단, 외국으로 주소 이전시 보조금 환수 대상임."
25,"보조금 지원받은 차량을 교통사고로 폐차시, 보조금 재지원 방법은?","교통사고나 천재지변 등 불가피한 사유로 보조금 지원받아 구매한 전기차를 폐차한 경우는 재지원제한기간(승용2년, 화물 2년)이 경과하지 않았더라도 보조금 지원 가능

폐배터리 반납(’21년 이후 보조금 지원 차량은 해당 없음), 폐차 승인 및 보조금 환수가 완료되었을 경우 전기차 보조금 재신청 가능 ※ 다만 교통사고 이후 해당 차량을 다른 사람에게 판매한 경우 또는 사고로 보험회사에서 인수한 경우에는 신차 구매시 보조금 재신청 불가

폐배터리 반납(문의: 친환경차량과 02-2133-3608, 한국환경공단 053-590-4309)
※ (반납신청서 양식 참조) 각종 서식 모음(전기차 판매승인·말소승인·폐배터리반납) < 환경 < 서울특별시

전기차 등록 후 제조ㆍ수입사 과실로 차량 반납 또는 말소한 경우 제조ㆍ수입사는 보조금을 반납하고 구매자는 전기차 구매보조금 재신청 가능"
26,전기차 5천3백만원 가격 기준은?,"전기차 보조금 지원 기준은 차량의 인증사양별 기본가격 기준이며, 옵션가 제외"
27,"전기차 중고 구입 후, 신규로 구매보조금 신청할 경우 지원 가능 여부는?","중고차 구매여부와는 관계없이 신차 구입시 동일개인 1대만 보조금 지원 가능, 중고차에 대해서는 보조금 지원 없음"
28,전기차 구입 후 전기차 보조금 지원 금액 확인 방법은?,"해당 차량의 자동차 등록 원부(상세내역)에서 확인 가능
누락된 경우 서울시청 친환경차량과에 문의
지급 여부 확인 방법은 2020년부터는 무공해차 통합누리집 - 구매 및 지원 - 지자체 문의처 및 보조금 지급여부 확인 - 최하단 전기자동차 보조금 지급여부 확인에서 차대번호 통해 조회 가능"
29,전기차 의무운행기간의 기준 시점은?,해당 차량의 최초등록일 기준 (자동차등록원부에서 확인가능)
30,전기차 의무운행기간 내 판매시 판매승인 방법은?,"최초등록일(자동차등록원부 확인) 기준 2년 이내 차량 판매 시 서울시 판매승인이 필요하며, 승인 공문을 지참해야 구청에서 명의이전 처리가 가능합니다.

■ 판매승인 신청
https://news.seoul.go.kr/env/sale_apprval (서울시 누리집)
※ 의무운행기간 준수 동의서 작성 후 신청 시 첨부 필수

■ 처리 기간
- 환수금 없는 경우: 접수 후 3시간 이내
- 환수금 있는 경우: 접수 후 3일 이내 (공휴일 제외)

■ 타 지자체 이전 시 서울시 보조금 환수요율
3개월 미만 70% / 3~6개월 65% / 6~9개월 60% / 9~12개월 55% / 12~15개월 50% / 15~18개월 40% / 18~21개월 30% / 21~24개월 20% / 24~60개월 0%"
